seed,N,D,num_clusters,lengthscale_mult,lengthscale,kernel_var,noise_var,method,proj,ctr,feature_dist,rmse,test_kl,test_mnll,test_mean_mse,test_var_mse,cluster_time_ms,test_feature_time_ms
0.0,10000.0,512.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,rff,gaussian,0.0,None,0.4746447205543518,710.46484375,0.6760751008987427,0.020180853083729744,4.628163151210174e-05,3.0967980000013995,1.9715120000682873
0.0,10000.0,512.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,rff,srht,0.0,None,0.6585801839828491,7850.78271484375,1.192859172821045,0.225961834192276,0.00020625970500987023,3.0967980000013995,10.207498999989184
0.0,10000.0,512.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,maclaurin,rademacher,0.0,"[15, 25, 36, 50, 74, 118, 193]",0.46543118357658386,550.892333984375,0.6551130414009094,0.015652364119887352,8.362400194528163e-07,3.0967980000013995,4397.837961000846
0.0,10000.0,512.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,maclaurin,rademacher,1.0,"[11, 19, 23, 29, 39, 55, 79]",0.4681972861289978,643.28759765625,0.6614446043968201,0.018287409096956253,9.123720587922435e-07,3.0967980000013995,4403.02887799885
0.0,10000.0,512.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,maclaurin,srht,0.0,"[2, 24, 34, 51, 76, 123, 201]",0.4635538160800934,528.67578125,0.6509426236152649,0.014958949759602547,1.089635475182149e-06,3.0967980000013995,10741.761730997725
0.0,10000.0,512.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,maclaurin,srht,1.0,"[2, 20, 22, 32, 40, 57, 82]",0.4642050266265869,533.6427612304688,0.6523668169975281,0.015131334774196148,9.374801948069944e-07,3.0967980000013995,9970.435355998456
0.0,10000.0,1024.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,rff,gaussian,0.0,None,0.4681529998779297,602.6805419921875,0.6618427038192749,0.01715194247663021,2.233769919257611e-05,3.0967980000013995,3.7768359999290624
0.0,10000.0,1024.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,rff,srht,0.0,None,0.6585801839828491,7850.78271484375,1.192859172821045,0.2259618192911148,0.00020625970500987023,3.0967980000013995,21.551735000002736
0.0,10000.0,1024.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,maclaurin,rademacher,0.0,"[29, 50, 72, 100, 149, 237, 386]",0.4647623598575592,552.8466796875,0.6536420583724976,0.015661654993891716,9.445060413781903e-07,3.0967980000013995,4820.254774000659
0.0,10000.0,1024.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,maclaurin,rademacher,1.0,"[22, 38, 47, 59, 77, 109, 159]",0.46512576937675476,541.2032470703125,0.654388427734375,0.015370354987680912,8.618954439043591e-07,3.0967980000013995,4493.2506810035875
