seed,N,D,num_clusters,lengthscale_mult,lengthscale,kernel_var,noise_var,method,proj,ctr,feature_dist,rmse,test_kl,test_mnll,test_mean_mse,test_var_mse
4.0,10000.0,100.0,910.0,0.25,0.24768982827663422,0.5089901089668274,0.24659693241119385,maclaurin,rademacher,1.0,"[1, 3, 4, 6, 9, 11, 15]",0.48010674118995667,542.9986572265625,0.687621533870697,0.019069241359829903,4.7321049351012334e-05
4.0,10000.0,100.0,910.0,0.25,0.24768982827663422,0.5089901089668274,0.24659693241119385,maclaurin,srht,0.0,"[2, 3, 6, 11, 16, 25, 36]",0.4707949161529541,309.3909912109375,0.6703827977180481,0.010964177548885345,1.9752437765419018e-06
4.0,10000.0,100.0,910.0,0.25,0.24768982827663422,0.5089901089668274,0.24659693241119385,maclaurin,srht,1.0,"[2, 3, 4, 6, 8, 11, 15]",0.48018044233322144,489.05621337890625,0.6876732110977173,0.017338529229164124,3.0051160138100386e-06
4.0,10000.0,100.0,470.0,0.5,0.24768982827663422,0.5089901089668274,0.24659693241119385,rff,gaussian,0.0,None,0.4924052953720093,944.2845458984375,0.7102397084236145,0.03437075763940811,0.0001621723349671811
4.0,10000.0,100.0,470.0,0.5,0.24768982827663422,0.5089901089668274,0.24659693241119385,maclaurin,rademacher,0.0,"[2, 4, 6, 11, 17, 24, 35]",0.4957828223705292,1016.9297485351562,0.71800297498703,0.0354311503469944,3.6312747397460043e-05
4.0,10000.0,100.0,470.0,0.5,0.24768982827663422,0.5089901089668274,0.24659693241119385,maclaurin,rademacher,1.0,"[1, 3, 4, 6, 9, 11, 15]",0.49498894810676575,932.0067138671875,0.7163494229316711,0.032547712326049805,2.1938125428278e-05
4.0,10000.0,100.0,470.0,0.5,0.24768982827663422,0.5089901089668274,0.24659693241119385,maclaurin,srht,0.0,"[2, 3, 6, 11, 16, 25, 36]",0.4716004729270935,433.5697021484375,0.6716777682304382,0.01531570591032505,1.8113860278390348e-05
4.0,10000.0,100.0,470.0,0.5,0.24768982827663422,0.5089901089668274,0.24659693241119385,maclaurin,srht,1.0,"[2, 3, 4, 6, 8, 11, 15]",0.4739421010017395,464.11065673828125,0.6758748888969421,0.016455046832561493,2.0098683307878673e-05
4.0,10000.0,100.0,170.0,1.0,0.24768982827663422,0.5089901089668274,0.24659693241119385,rff,gaussian,0.0,None,0.4873674511909485,830.0455932617188,0.7008285522460938,0.029496174305677414,0.00016080946079455316
4.0,10000.0,100.0,170.0,1.0,0.24768982827663422,0.5089901089668274,0.24659693241119385,maclaurin,rademacher,0.0,"[2, 4, 6, 11, 17, 24, 35]",0.486013799905777,584.303955078125,0.698586106300354,0.020702287554740906,2.9081971661071293e-05
4.0,10000.0,100.0,170.0,1.0,0.24768982827663422,0.5089901089668274,0.24659693241119385,maclaurin,rademacher,1.0,"[1, 3, 4, 6, 9, 11, 15]",0.5022292137145996,1248.4134521484375,0.7306522130966187,0.04371505230665207,5.450471144285984e-05
4.0,10000.0,100.0,170.0,1.0,0.24768982827663422,0.5089901089668274,0.24659693241119385,maclaurin,srht,0.0,"[2, 3, 6, 11, 16, 25, 36]",0.47557833790779114,392.8910827636719,0.6787969470024109,0.014100109227001667,7.628975254192483e-06
4.0,10000.0,100.0,170.0,1.0,0.24768982827663422,0.5089901089668274,0.24659693241119385,maclaurin,srht,1.0,"[2, 3, 4, 6, 8, 11, 15]",0.4794384837150574,528.3089599609375,0.6859414577484131,0.018841532990336418,6.862407190055819e-06
4.0,10000.0,100.0,59.0,2.0,0.24768982827663422,0.5089901089668274,0.24659693241119385,rff,gaussian,0.0,None,0.4876478612422943,834.4216918945312,0.7013847231864929,0.02979004569351673,0.0001658803375903517
4.0,10000.0,100.0,59.0,2.0,0.24768982827663422,0.5089901089668274,0.24659693241119385,maclaurin,rademacher,0.0,"[2, 4, 6, 11, 17, 24, 35]",0.4788203835487366,531.0421752929688,0.684565544128418,0.01899769715964794,1.6370517187169753e-05
4.0,10000.0,100.0,59.0,2.0,0.24768982827663422,0.5089901089668274,0.24659693241119385,maclaurin,rademacher,1.0,"[1, 3, 4, 6, 9, 11, 15]",0.48522233963012695,655.8267822265625,0.6966990232467651,0.023433014750480652,2.7519654395291582e-05
4.0,10000.0,100.0,59.0,2.0,0.24768982827663422,0.5089901089668274,0.24659693241119385,maclaurin,srht,0.0,"[2, 3, 6, 11, 16, 25, 36]",0.4789372980594635,524.3884887695312,0.6851622462272644,0.018649816513061523,1.1702123629220296e-05
4.0,10000.0,100.0,59.0,2.0,0.24768982827663422,0.5089901089668274,0.24659693241119385,maclaurin,srht,1.0,"[2, 3, 4, 6, 8, 11, 15]",0.4815298020839691,583.57763671875,0.6899996995925903,0.020716257393360138,1.6167472494998947e-05
4.0,10000.0,100.0,20.0,4.0,0.24768982827663422,0.5089901089668274,0.24659693241119385,rff,gaussian,0.0,None,0.49046453833580017,926.0743408203125,0.7068538069725037,0.0329267755150795,0.00015860552957747132
4.0,10000.0,100.0,20.0,4.0,0.24768982827663422,0.5089901089668274,0.24659693241119385,maclaurin,rademacher,0.0,"[2, 4, 6, 11, 17, 24, 35]",0.5236624479293823,1987.364990234375,0.7751471996307373,0.0692906603217125,4.321666347095743e-05
4.0,10000.0,100.0,20.0,4.0,0.24768982827663422,0.5089901089668274,0.24659693241119385,maclaurin,rademacher,1.0,"[1, 3, 4, 6, 9, 11, 15]",0.5418949723243713,2673.45654296875,0.8140310645103455,0.09297699481248856,7.862726488383487e-05
4.0,10000.0,100.0,20.0,4.0,0.24768982827663422,0.5089901089668274,0.24659693241119385,maclaurin,srht,0.0,"[2, 3, 6, 11, 16, 25, 36]",0.5161328315734863,1591.4141845703125,0.7596152424812317,0.05530708655714989,3.260400262661278e-05
4.0,10000.0,100.0,20.0,4.0,0.24768982827663422,0.5089901089668274,0.24659693241119385,maclaurin,srht,1.0,"[2, 3, 4, 6, 8, 11, 15]",0.5338634252548218,2477.250244140625,0.7968679070472717,0.08577442169189453,5.512522329809144e-05
4.0,10000.0,100.0,8.0,8.0,0.24768982827663422,0.5089901089668274,0.24659693241119385,rff,gaussian,0.0,None,0.5092650651931763,1321.6474609375,0.7434679865837097,0.048797886818647385,0.00016498348850291222
4.0,10000.0,100.0,8.0,8.0,0.24768982827663422,0.5089901089668274,0.24659693241119385,maclaurin,rademacher,0.0,"[2, 4, 6, 11, 17, 24, 35]",0.5702959299087524,3441.95849609375,0.8782353401184082,0.12037183344364166,0.0001542556274216622
4.0,10000.0,100.0,8.0,8.0,0.24768982827663422,0.5089901089668274,0.24659693241119385,maclaurin,rademacher,1.0,"[1, 3, 4, 6, 9, 11, 15]",0.6336336731910706,5837.3974609375,1.0321245193481445,0.20241008698940277,0.00016501419304404408
4.0,10000.0,100.0,8.0,8.0,0.24768982827663422,0.5089901089668274,0.24659693241119385,maclaurin,srht,0.0,"[2, 3, 6, 11, 16, 25, 36]",0.5729427337646484,3532.0712890625,0.8844565749168396,0.12346842139959335,0.00015926151536405087
4.0,10000.0,100.0,8.0,8.0,0.24768982827663422,0.5089901089668274,0.24659693241119385,maclaurin,srht,1.0,"[2, 3, 4, 6, 8, 11, 15]",0.5699440836906433,3418.24560546875,0.8774370551109314,0.11952868849039078,0.00015997953596524894
5.0,10000.0,100.0,1704.0,0.125,0.24478426575660706,0.5047977566719055,0.20189650356769562,rff,gaussian,0.0,None,0.4894663095474243,1340.079345703125,0.711525559425354,0.0386258065700531,0.00020929527818225324
5.0,10000.0,100.0,1704.0,0.125,0.24478426575660706,0.5047977566719055,0.20189650356769562,maclaurin,rademacher,0.0,"[3, 4, 6, 9, 15, 24, 38]",0.48497581481933594,986.7213134765625,0.6997937560081482,0.02843656949698925,4.439708573045209e-05
5.0,10000.0,100.0,1704.0,0.125,0.24478426575660706,0.5047977566719055,0.20189650356769562,maclaurin,rademacher,1.0,"[2, 3, 4, 5, 8, 11, 16]",0.5016328692436218,1703.032470703125,0.7402522563934326,0.04873809590935707,6.608741387026384e-05
5.0,10000.0,100.0,1704.0,0.125,0.24478426575660706,0.5047977566719055,0.20189650356769562,maclaurin,srht,0.0,"[2, 3, 5, 9, 15, 25, 40]",0.47648921608924866,817.3057861328125,0.6801449656486511,0.02338125929236412,1.0372371434641536e-05
5.0,10000.0,100.0,1704.0,0.125,0.24478426575660706,0.5047977566719055,0.20189650356769562,maclaurin,srht,1.0,"[2, 3, 4, 5, 8, 11, 16]",0.48656195402145386,1131.41796875,0.70332270860672,0.03268793225288391,1.7948563254321925e-05
5.0,10000.0,100.0,896.0,0.25,0.24478426575660706,0.5047977566719055,0.20189650356769562,rff,gaussian,0.0,None,0.48813503980636597,1270.81201171875,0.7083011865615845,0.03643830120563507,0.0002030679606832564
5.0,10000.0,100.0,896.0,0.25,0.24478426575660706,0.5047977566719055,0.20189650356769562,maclaurin,rademacher,0.0,"[3, 4, 6, 9, 15, 24, 38]",0.48163193464279175,1026.040283203125,0.691947877407074,0.029583867639303207,1.4772439499211032e-05
