D,alpha,bias,comp,dataset,degree,dist_est_time,dummy_error,dummy_mnll,est_len,feature_dist,hier,k_mean_error,k_mean_rel_error,k_mse,k_rel_frob_error,k_rel_frob_error_comp,kernel_len,kernel_var,method,pred_time,proj,seed,test_error,test_kl,test_label_var,test_mean_mse,test_mnll,test_var_mse
64.0,0.001,0.875,0.0,Mocap,10.0,0.5297250747680664,0.7915493249893188,1.608945369720459,2.82842712474619,"[39, 24]",0.0,1.1235612630844116,0.28579095005989075,2.008103132247925,0.2835307717323303,0.0,2.8284270763397217,16.053884506225586,maclaurin,0.4836595058441162,countsketch_scatter,0.0,0.21613317728042603,35209.58984375,0.1600000411272049,9.836687088012695,0.623455286026001,1.7138234376907349
64.0,0.001,0.875,0.0,Mocap,10.0,1.430511474609375e-06,0.7915493249893188,1.608945369720459,2.82842712474619,None,0.0,1.3595685958862305,0.2830791175365448,4.510900974273682,0.4249509871006012,0.0,2.8284270763397217,16.053884506225586,ts,0.1425628662109375,rademacher,0.0,0.22624841332435608,38823.76171875,0.1600000411272049,10.828685760498047,0.6431335806846619,1.6776992082595825
64.0,0.001,0.875,1.0,Mocap,10.0,9.5367431640625e-07,0.7915493249893188,1.608945369720459,2.82842712474619,None,0.0,1.0896395444869995,0.24676214158535004,2.0789716243743896,0.2884904444217682,0.3926059603691101,2.8284270763397217,16.053884506225586,ts,0.4686436653137207,rademacher,0.0,0.19551856815814972,33582.07421875,0.1600000411272049,8.912430763244629,0.526272177696228,1.6822130680084229
64.0,0.001,0.875,0.0,Mocap,10.0,9.5367431640625e-07,0.7915493249893188,1.608945369720459,2.82842712474619,None,0.0,1.4245350360870361,0.2901022434234619,7.263677597045898,0.5392441749572754,0.0,2.8284270763397217,16.053884506225586,ts,0.1499326229095459,srht,0.0,0.21869398653507233,37071.1953125,0.1600000411272049,10.55737018585205,0.612528920173645,1.6774135828018188
64.0,0.001,0.875,1.0,Mocap,10.0,1.6689300537109375e-06,0.7915493249893188,1.608945369720459,2.82842712474619,None,0.0,0.9614838361740112,0.2192125767469406,1.7295033931732178,0.26312848925590515,0.36221837997436523,2.8284270763397217,16.053884506225586,ts,0.5795924663543701,srht,0.0,0.19154930114746094,30091.71875,0.1600000411272049,8.557555198669434,0.5169246792793274,1.683670163154602
64.0,0.001,0.875,0.0,Mocap,10.0,9.5367431640625e-07,0.7915493249893188,1.608945369720459,2.82842712474619,None,0.0,1.55173921585083,0.34827879071235657,4.914564609527588,0.4435572624206543,0.0,2.8284270763397217,16.053884506225586,ts,1.044381856918335,countsketch_scatter,0.0,0.2509603202342987,37593.94921875,0.1600000411272049,10.899219512939453,0.6972135305404663,1.6797534227371216
64.0,0.001,0.875,0.0,Mocap,10.0,1.1920928955078125e-06,0.7915493249893188,1.608945369720459,2.82842712474619,None,1.0,2.522953510284424,0.5743893384933472,9.487259864807129,0.6162793040275574,0.0,2.8284270763397217,16.053884506225586,ts,0.16334009170532227,rademacher,0.0,0.2710627615451813,41484.75,0.1600000411272049,12.250605583190918,0.7778749465942383,1.6936824321746826
64.0,0.001,0.875,0.0,Mocap,10.0,9.5367431640625e-07,0.7915493249893188,1.608945369720459,2.82842712474619,None,1.0,2.6867029666900635,0.6387523412704468,10.02163028717041,0.6333975195884705,0.0,2.8284270763397217,16.053884506225586,ts,0.15471982955932617,srht,0.0,0.2710627615451813,40018.57421875,0.1600000411272049,11.480819702148438,0.7564164996147156,1.6927490234375
64.0,0.001,0.875,1.0,Mocap,10.0,9.5367431640625e-07,0.7915493249893188,1.608945369720459,2.82842712474619,None,1.0,1.488264799118042,0.36003103852272034,3.783754825592041,0.3891962766647339,0.5367590188980103,2.8284270763397217,16.053884506225586,ts,0.8660683631896973,srht,0.0,0.17912933230400085,31460.849609375,0.1600000411272049,8.668829917907715,0.5004270076751709,1.691969633102417
64.0,0.001,0.875,0.0,Mocap,10.0,1.1920928955078125e-06,0.7915493249893188,1.608945369720459,2.82842712474619,None,1.0,1.8441253900527954,0.4460848867893219,5.774884223937988,0.48081591725349426,0.0,2.8284270763397217,16.053884506225586,ts,4.152353763580322,countsketch_scatter,0.0,0.24071703851222992,38024.93359375,0.1600000411272049,10.810524940490723,0.6816771626472473,1.6881211996078491
