D,alpha,bias,comp,dataset,degree,dist_est_time,est_len,feature_dist,hier,k_mean_error,k_mean_rel_error,k_mse,k_rel_frob_error,k_rel_frob_error_comp,kernel_len,kernel_var,method,pred_time,proj,seed
64.0,0.1,0.875,0.0,EEG,10.0,0.6116299629211426,2.82842712474619,"[35, 28]",0.0,0.15272676944732666,0.26441535353660583,0.037414636462926865,0.1827612966299057,0.0,2.8284270763397217,2.6790988445281982,maclaurin,0.0740365982055664,rademacher,0.0
64.0,0.1,0.875,1.0,EEG,10.0,0.5360012054443359,2.82842712474619,"[36, 27]",0.0,0.13996094465255737,0.2943321764469147,0.031940460205078125,0.16886281967163086,0.2108778953552246,2.8284270763397217,2.6790988445281982,maclaurin,0.06624412536621094,rademacher,0.0
64.0,0.1,0.875,0.0,EEG,10.0,0.8210322856903076,2.82842712474619,"[16, 47]",0.0,0.07783015817403793,0.15138505399227142,0.010463733226060867,0.0966510996222496,0.0,2.8284270763397217,2.6790988445281982,maclaurin,0.08354330062866211,srht,0.0
64.0,0.1,0.875,1.0,EEG,10.0,0.6313159465789795,2.82842712474619,"[16, 47]",0.0,0.06679785996675491,0.10099382698535919,0.008333039470016956,0.08625120669603348,0.09877695888280869,2.8284270763397217,2.6790988445281982,maclaurin,0.06985139846801758,srht,0.0
64.0,0.1,0.875,0.0,EEG,10.0,0.5533123016357422,2.82842712474619,"[39, 24]",0.0,0.23830349743366241,0.45176059007644653,0.09130285680294037,0.2854996919631958,0.0,2.8284270763397217,2.6790988445281982,maclaurin,0.13866209983825684,countsketch_scatter,0.0
64.0,0.1,0.875,0.0,EEG,10.0,0.6688797473907471,2.82842712474619,"[35, 28]",1.0,0.13588756322860718,0.2584778368473053,0.02937033772468567,0.1619264930486679,0.0,2.8284270763397217,2.6790988445281982,maclaurin,0.0763709545135498,rademacher,0.0
64.0,0.1,0.875,1.0,EEG,10.0,0.6694462299346924,2.82842712474619,"[36, 27]",1.0,0.12452618032693863,0.2028178721666336,0.02449074760079384,0.1478646844625473,0.18803636729717255,2.8284270763397217,2.6790988445281982,maclaurin,0.0959005355834961,rademacher,0.0
64.0,0.1,0.875,0.0,EEG,10.0,0.6690213680267334,2.82842712474619,"[16, 47]",1.0,0.08940334618091583,0.13205987215042114,0.014057244174182415,0.11202463507652283,0.0,2.8284270763397217,2.6790988445281982,maclaurin,0.07306528091430664,srht,0.0
64.0,0.1,0.875,1.0,EEG,10.0,0.6419193744659424,2.82842712474619,"[16, 47]",1.0,0.06520520895719528,0.12201376259326935,0.007527248468250036,0.08197502791881561,0.10006508231163025,2.8284270763397217,2.6790988445281982,maclaurin,0.08162093162536621,srht,0.0
64.0,0.1,0.875,0.0,EEG,10.0,0.5630941390991211,2.82842712474619,"[39, 24]",1.0,0.2285580039024353,0.37353888154029846,0.08688940107822418,0.2785138785839081,0.0,2.8284270763397217,2.6790988445281982,maclaurin,0.09617924690246582,countsketch_scatter,0.0
64.0,0.1,0.875,0.0,EEG,10.0,1.1920928955078125e-06,2.82842712474619,None,0.0,0.3232368230819702,0.33131885528564453,0.24652162194252014,0.4691275656223297,0.0,2.8284270763397217,2.6790988445281982,ts,0.025243043899536133,rademacher,0.0
64.0,0.1,0.875,1.0,EEG,10.0,1.430511474609375e-06,2.82842712474619,None,0.0,0.1773342341184616,0.231952965259552,0.058889273554086685,0.22928811609745026,0.2878415584564209,2.8284270763397217,2.6790988445281982,ts,0.04985523223876953,rademacher,0.0
64.0,0.1,0.875,0.0,EEG,10.0,7.152557373046875e-07,2.82842712474619,None,0.0,0.28890711069107056,0.26328256726264954,0.18313910067081451,0.4043467938899994,0.0,2.8284270763397217,2.6790988445281982,ts,0.021645545959472656,srht,0.0
