dataset,method,degree,bias,proj,comp,comp_real,full_cov,hier,kernel_var,kernel_len,test_error,test_mnll,test_label_var,k_mse,k_mean_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,feature_dist,noise_var,feature_time,pred_time,seed
MNIST,poly_sketch,3.0,0.5,srht,0.0,0.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.02410000003874302,0.07829631865024567,0.09000000357627869,0.05340433120727539,0.18055999279022217,0.0686226561665535,933.1793212890625,0.4081054627895355,0.10506294667720795,3072.0,None,0.001,0.07060456275939941,1.824723720550537,0.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,1.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.025200000032782555,0.07772819697856903,0.09000000357627869,0.03786258026957512,0.15482331812381744,0.0577809140086174,866.6141967773438,0.38331398367881775,0.09135203063488007,3072.0,None,0.001,0.10189557075500488,1.8243508338928223,0.0
MNIST,poly_sketch,3.0,0.5,countsketch_scatter,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.025599999353289604,0.07775900512933731,0.09000000357627869,0.07283510267734528,0.2103777974843979,0.08014006167650223,856.9371948242188,0.3763108551502228,0.08852066844701767,3072.0,None,0.001,0.12807059288024902,1.822176456451416,0.0
MNIST,srf,3.0,0.5,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.023399999365210533,0.0740688219666481,0.09000000357627869,0.04155340418219566,0.16653642058372498,0.06053166091442108,894.9235229492188,0.41681089997291565,0.016492541879415512,4096.0,None,0.001,0.07919526100158691,3.048126220703125,0.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,0.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.023499999195337296,0.07413201779127121,0.09000000357627869,0.06000716984272003,0.19637863337993622,0.07274126261472702,691.5548706054688,0.30943363904953003,0.06614839285612106,4096.0,None,0.001,0.07877111434936523,3.0312232971191406,0.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,1.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.02290000021457672,0.07418511062860489,0.09000000357627869,0.03823444992303848,0.1606351137161255,0.058063969016075134,629.1226806640625,0.2850091755390167,0.054669998586177826,4096.0,None,0.001,0.11346650123596191,3.0306787490844727,0.0
MNIST,poly_sketch,3.0,0.5,countsketch_scatter,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.02369999885559082,0.0733543336391449,0.09000000357627869,0.02905867248773575,0.13457031548023224,0.050619419664144516,640.7880249023438,0.2887469530105591,0.05443054437637329,4096.0,None,0.001,0.13877415657043457,3.0379106998443604,0.0
MNIST,srf,3.0,0.5,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.023099999874830246,0.07230843603610992,0.09000000357627869,0.0395347960293293,0.16328297555446625,0.05904308333992958,745.5897827148438,0.33962875604629517,0.03484692424535751,5120.0,None,0.001,0.09643173217773438,4.627917528152466,0.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,0.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.021800000220537186,0.0684112161397934,0.09000000357627869,0.05126243084669113,0.1789393126964569,0.06723244488239288,558.983154296875,0.25272136926651,0.04569828137755394,5120.0,None,0.001,0.08766865730285645,4.620036602020264,0.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,1.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.02279999852180481,0.06794331222772598,0.09000000357627869,0.020428981631994247,0.11314553767442703,0.04244266822934151,503.5378112792969,0.23304222524166107,0.03645499423146248,5120.0,None,0.001,0.12557554244995117,4.624215364456177,0.0
MNIST,poly_sketch,3.0,0.5,countsketch_scatter,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.021299999207258224,0.06912851333618164,0.09000000357627869,0.023848669603466988,0.12304192036390305,0.04585760831832886,509.0114440917969,0.23154528439044952,0.03974682837724686,5120.0,None,0.001,0.19032669067382812,4.631147146224976,0.0
MNIST,srf,3.0,0.5,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.02029999904334545,0.06732544302940369,0.09000000357627869,0.03395628556609154,0.15058428049087524,0.05471915751695633,645.6000366210938,0.2847270965576172,0.050861429423093796,6144.0,None,0.001,0.11432838439941406,6.446624040603638,0.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,0.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.020499998703598976,0.06726135313510895,0.09000000357627869,0.025517236441373825,0.12552720308303833,0.04743469879031181,467.9670104980469,0.21329587697982788,0.03373866528272629,6144.0,None,0.001,0.09696483612060547,6.4450600147247314,0.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,1.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.020399998873472214,0.06643573939800262,0.09000000357627869,0.030611682683229446,0.14328154921531677,0.051954470574855804,414.05499267578125,0.19227533042430878,0.026780717074871063,6144.0,None,0.001,0.13831114768981934,6.445161581039429,0.0
MNIST,poly_sketch,3.0,0.5,countsketch_scatter,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.02029999904334545,0.06562408059835434,0.09000000357627869,0.020098954439163208,0.11093714088201523,0.04209844395518303,407.0189514160156,0.1867256611585617,0.028154723346233368,6144.0,None,0.001,0.22409367561340332,6.445177316665649,0.0
MNIST,srf,3.0,0.5,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.020399998873472214,0.06457099318504333,0.09000000357627869,0.03432486578822136,0.15156222879886627,0.05501532927155495,586.8024291992188,0.24984285235404968,0.06698355078697205,7168.0,None,0.001,0.1295299530029297,8.579376220703125,0.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,0.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.01899999938905239,0.06276139616966248,0.09000000357627869,0.01998087577521801,0.11091765761375427,0.04197459667921066,401.1794128417969,0.1840665638446808,0.02566063590347767,7168.0,None,0.001,0.14039087295532227,8.578272342681885,0.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,1.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.019099999219179153,0.06298348307609558,0.09000000357627869,0.02380959689617157,0.12471675872802734,0.045820023864507675,350.7985534667969,0.16332492232322693,0.020513983443379402,7168.0,None,0.001,0.15004754066467285,8.578985214233398,0.0
MNIST,poly_sketch,3.0,0.5,countsketch_scatter,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.019700000062584877,0.0620913989841938,0.09000000357627869,0.019023071974515915,0.11068180203437805,0.040956199169158936,362.7578430175781,0.16768647730350494,0.021960191428661346,7168.0,None,0.001,0.2520718574523926,8.58044958114624,0.0
MNIST,srf,3.0,0.5,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.019600000232458115,0.06064138188958168,0.09000000357627869,0.03139830008149147,0.14543777704238892,0.05261776223778725,544.38818359375,0.2276664823293686,0.080110564827919,8192.0,None,0.001,0.1846308708190918,11.143532991409302,0.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,0.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.019700000062584877,0.06264882534742355,0.09000000357627869,0.02280568517744541,0.12003432214260101,0.044843640178442,339.9768981933594,0.157181516289711,0.020402615889906883,8192.0,None,0.001,0.21843314170837402,11.146983861923218,0.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,1.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.018400000408291817,0.06010618805885315,0.09000000357627869,0.01934540830552578,0.11215081810951233,0.04130173102021217,304.55322265625,0.14326810836791992,0.015597417019307613,8192.0,None,0.001,0.16186189651489258,11.14378547668457,0.0
MNIST,poly_sketch,3.0,0.5,countsketch_scatter,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.01939999870955944,0.06211131438612938,0.09000000357627869,0.013501272536814213,0.09222420305013657,0.03450377658009529,311.6042785644531,0.14582796394824982,0.01655609905719757,8192.0,None,0.001,0.2789421081542969,11.138548851013184,0.0
