dataset,kernel,method,degree,bias,proj,comp,comp_real,full_cov,ahle,tree,kernel_var,kernel_len,k_frob_error,k_rel_frob_error,D,E,feature_dist,noise_var,feature_time,maclaurin_time,seed
Energy,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,93.929443359375,1.4142135381698608,4316.1025390625,0.6708731651306152,40,0,"[3, 11, 25]",0.001,0.003977775573730469,0.5956118106842041,9
Energy,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,93.75215911865234,1.4142135381698608,4189.74169921875,0.631128191947937,40,0,"[3, 11, 25]",0.001,0.001068115234375,0.6229288578033447,10
Energy,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,93.43355560302734,1.4142135381698608,3635.987060546875,0.5580487251281738,40,0,"[3, 11, 25]",0.001,0.002797842025756836,0.6281189918518066,11
Energy,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,94.17929077148438,1.4142135381698608,4420.4130859375,0.6532909274101257,40,0,"[3, 11, 25]",0.001,0.0014710426330566406,0.643625020980835,12
Energy,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,94.05709075927734,1.4142135381698608,4565.919921875,0.6645544767379761,40,0,"[3, 11, 25]",0.001,0.001461029052734375,0.6829140186309814,13
Energy,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,93.47410583496094,1.4142135381698608,4441.45361328125,0.6017751097679138,40,0,"[3, 11, 25]",0.001,0.001499176025390625,0.7299442291259766,14
Energy,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,93.99073028564453,1.4142135381698608,4426.04833984375,0.6068228483200073,40,0,"[3, 11, 25]",0.001,0.00138092041015625,0.755908727645874,15
Energy,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,94.03937530517578,1.4142135381698608,4947.90478515625,0.6526350378990173,40,0,"[3, 11, 25]",0.001,0.0014791488647460938,0.7745637893676758,16
Energy,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,93.6322021484375,1.4142135381698608,4968.6572265625,0.6567028164863586,40,0,"[3, 11, 25]",0.001,0.0022890567779541016,0.8067381381988525,17
Energy,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,93.91931915283203,1.4142135381698608,4794.3544921875,0.6267353296279907,40,0,"[3, 11, 25]",0.001,0.0014781951904296875,0.8367669582366943,18
Energy,polynomial,maclaurin,7,0.5,rademacher,False,False,False,False,False,93.7596206665039,1.4142135381698608,6011.21484375,0.7506805658340454,40,0,"[3, 11, 25]",0.001,0.00113677978515625,0.8677980899810791,19
Energy,polynomial,maclaurin,10,0.5,rademacher,False,False,False,False,False,93.23768615722656,1.4142135381698608,5596.65673828125,0.8280874490737915,40,0,"[1, 8, 30]",0.001,0.0020322799682617188,1.403916835784912,0
Energy,polynomial,maclaurin,10,0.5,rademacher,False,False,False,False,False,92.96492767333984,1.4142135381698608,5561.37109375,0.8133509755134583,40,0,"[1, 8, 30]",0.001,0.0009069442749023438,1.3960115909576416,1
Energy,polynomial,maclaurin,10,0.5,rademacher,False,False,False,False,False,93.77124786376953,1.4142135381698608,5828.09765625,0.8334947228431702,40,0,"[1, 8, 30]",0.001,0.001596212387084961,1.402174949645996,2
