dataset,kernel,method,degree,bias,proj,comp,comp_real,full_cov,ahle,tree,kernel_var,kernel_len,k_frob_error,k_rel_frob_error,D,E,feature_dist,noise_var,feature_time,maclaurin_time,seed
Naval,gaussian,maclaurin,0,0,srht,False,False,False,False,False,0.00013640511315315962,3.489107847213745,0.007610988803207874,0.1745629757642746,80,0,"[16, 30, 33]",0.001,0.1677103042602539,0.4960620403289795,2
Naval,gaussian,maclaurin,0,0,srht,True,False,False,False,False,0.00013640511315315962,3.489107847213745,0.0018336010398343205,0.042054831981658936,80,0,"[16, 16, 16, 16, 15]",0.001,0.3676419258117676,0.47020506858825684,2
Naval,gaussian,maclaurin,0,0,rademacher,False,False,False,False,False,0.0001358682638965547,3.4752371311187744,0.008320404216647148,0.1915590912103653,80,0,"[27, 28, 24]",0.001,0.009576082229614258,0.4445350170135498,3
Naval,gaussian,maclaurin,0,0,rademacher,True,False,False,False,False,0.0001358682638965547,3.4752371311187744,0.010092729702591896,0.2323630154132843,80,0,"[26, 23, 17, 13]",0.001,0.027224063873291016,0.44513893127441406,3
Naval,gaussian,maclaurin,0,0,srht,False,False,False,False,False,0.0001358682638965547,3.4752371311187744,0.005760439205914736,0.13262149691581726,80,0,"[16, 30, 33]",0.001,0.17990493774414062,0.46283912658691406,3
Naval,gaussian,maclaurin,0,0,srht,True,False,False,False,False,0.0001358682638965547,3.4752371311187744,0.004473655950278044,0.10299613326787949,80,0,"[16, 17, 16, 16, 14]",0.001,0.44030094146728516,0.47208118438720703,3
Naval,gaussian,maclaurin,0,0,rademacher,False,False,False,False,False,0.00013736997789237648,3.492906093597412,0.010236664675176144,0.23268164694309235,80,0,"[26, 28, 25]",0.001,0.008256912231445312,0.45339107513427734,4
Naval,gaussian,maclaurin,0,0,rademacher,True,False,False,False,False,0.00013736997789237648,3.492906093597412,0.005555273033678532,0.12627258896827698,80,0,"[25, 23, 18, 13]",0.001,0.031143903732299805,0.44902682304382324,4
Naval,gaussian,maclaurin,0,0,srht,False,False,False,False,False,0.00013736997789237648,3.492906093597412,0.006823115516453981,0.15509092807769775,80,0,"[16, 30, 33]",0.001,0.19361209869384766,0.4751119613647461,4
Naval,gaussian,maclaurin,0,0,srht,True,False,False,False,False,0.00013736997789237648,3.492906093597412,0.005187917035073042,0.11792249977588654,80,0,"[16, 22, 22, 19]",0.001,0.5258948802947998,0.47791099548339844,4
Naval,gaussian,maclaurin,0,0,rademacher,False,False,False,False,False,0.000136934409965761,3.418120861053467,0.007973775267601013,0.17951789498329163,80,0,"[27, 28, 24]",0.001,0.008871078491210938,0.47368288040161133,5
Naval,gaussian,maclaurin,0,0,rademacher,True,False,False,False,False,0.000136934409965761,3.418120861053467,0.005281324032694101,0.11890129745006561,80,0,"[26, 23, 17, 13]",0.001,0.03155183792114258,0.4361391067504883,5
Naval,gaussian,maclaurin,0,0,srht,False,False,False,False,False,0.000136934409965761,3.418120861053467,0.006669437047094107,0.15015263855457306,80,0,"[16, 30, 33]",0.001,0.20482993125915527,0.47132420539855957,5
Naval,gaussian,maclaurin,0,0,srht,True,False,False,False,False,0.000136934409965761,3.418120861053467,0.004073393065482378,0.09170649200677872,80,0,"[16, 23, 22, 18]",0.001,0.5579466819763184,0.45291996002197266,5
Naval,gaussian,maclaurin,0,0,rademacher,False,False,False,False,False,0.00013667465827893466,3.7724218368530273,0.003618476679548621,0.07932799309492111,80,0,"[28, 27, 24]",0.001,0.011090993881225586,0.4386427402496338,6
Naval,gaussian,maclaurin,0,0,rademacher,True,False,False,False,False,0.00013667465827893466,3.7724218368530273,0.003063896670937538,0.0671699196100235,80,0,"[27, 22, 17, 13]",0.001,0.031697988510131836,0.4996371269226074,6
Naval,gaussian,maclaurin,0,0,srht,False,False,False,False,False,0.00013667465827893466,3.7724218368530273,0.004649300128221512,0.1019267737865448,80,0,"[16, 31, 32]",0.001,0.17600584030151367,0.5489959716796875,6
Naval,gaussian,maclaurin,0,0,srht,True,False,False,False,False,0.00013667465827893466,3.7724218368530273,0.0033794709015637636,0.07408826053142548,80,0,"[16, 22, 22, 19]",0.001,0.620387077331543,0.48374390602111816,6
Naval,gaussian,maclaurin,0,0,rademacher,False,False,False,False,False,0.0001362888579024002,3.667196750640869,0.007967240177094936,0.17353127896785736,80,0,"[27, 27, 25]",0.001,0.010422706604003906,0.4539206027984619,7
Naval,gaussian,maclaurin,0,0,rademacher,True,False,False,False,False,0.0001362888579024002,3.667196750640869,0.0033789360895752907,0.07359526306390762,80,0,"[26, 22, 17, 14]",0.001,0.04533028602600098,0.4982469081878662,7
Naval,gaussian,maclaurin,0,0,srht,False,False,False,False,False,0.0001362888579024002,3.667196750640869,0.005176866427063942,0.11275526136159897,80,0,"[16, 30, 33]",0.001,0.24274301528930664,0.5196239948272705,7
Naval,gaussian,maclaurin,0,0,srht,True,False,False,False,False,0.0001362888579024002,3.667196750640869,0.0031095785088837147,0.06772848963737488,80,0,"[16, 22, 22, 19]",0.001,0.6390042304992676,0.48862481117248535,7
Naval,gaussian,maclaurin,0,0,rademacher,False,False,False,False,False,0.00013681745622307062,3.5002660751342773,0.010677938349545002,0.2431674599647522,80,0,"[26, 28, 25]",0.001,0.010251998901367188,0.4393899440765381,8
Naval,gaussian,maclaurin,0,0,rademacher,True,False,False,False,False,0.00013681745622307062,3.5002660751342773,0.006134555675089359,0.13970153033733368,80,0,"[26, 23, 17, 13]",0.001,0.03634905815124512,0.5180931091308594,8
Naval,gaussian,maclaurin,0,0,srht,False,False,False,False,False,0.00013681745622307062,3.5002660751342773,0.005680586211383343,0.12936334311962128,80,0,"[16, 30, 33]",0.001,0.29817700386047363,0.49213480949401855,8
Naval,gaussian,maclaurin,0,0,srht,True,False,False,False,False,0.00013681745622307062,3.5002660751342773,0.002606597263365984,0.05935974046587944,80,0,"[16, 22, 22, 19]",0.001,0.6748380661010742,0.4981100559234619,8
