D,alpha,bias,comp,dataset,degree,dist_est_time,dummy_error,dummy_mnll,est_len,feature_dist,hier,k_mean_error,k_mean_rel_error,k_mse,k_rel_frob_error,k_rel_frob_error_comp,kernel_len,kernel_var,method,pred_time,proj,seed,test_error,test_kl,test_label_var,test_mean_mse,test_mnll,test_var_mse
16.0,0.1,0.875,0.0,Magic,7.0,0.15385770797729492,0.36330175399780273,0.6556615829467773,2.82842712474619,"[11, 4]",0.0,0.3323901891708374,0.3845840394496918,0.17458830773830414,0.3202837109565735,0.0,2.8284270763397217,2.679077625274658,maclaurin,0.13612771034240723,countsketch_scatter,0.0,0.21871712803840637,17472.17578125,0.25,0.5197583436965942,0.472206711769104,0.0013047863030806184
16.0,0.1,0.875,0.0,Magic,7.0,1.1920928955078125e-06,0.36330175399780273,0.6556615829467773,2.82842712474619,None,0.0,0.38870173692703247,0.3220426142215729,0.31455570459365845,0.42990854382514954,0.0,2.8284270763397217,2.679077625274658,ts,0.062277793884277344,rademacher,0.0,0.2150367945432663,17409.287109375,0.25,0.5240495800971985,0.48115551471710205,0.0012400094419717789
16.0,0.1,0.875,1.0,Magic,7.0,1.1920928955078125e-06,0.36330175399780273,0.6556615829467773,2.82842712474619,None,0.0,0.2950524687767029,0.23748421669006348,0.1628926694393158,0.30936989188194275,0.36948367953300476,2.8284270763397217,2.679077625274658,ts,0.10288095474243164,rademacher,0.0,0.2024184912443161,16228.119140625,0.25,0.4823061525821686,0.46181511878967285,0.0012435488170012832
16.0,0.1,0.875,0.0,Magic,7.0,1.430511474609375e-06,0.36330175399780273,0.6556615829467773,2.82842712474619,None,0.0,0.34541550278663635,0.26371482014656067,0.3110981583595276,0.42753925919532776,0.0,2.8284270763397217,2.679077625274658,ts,0.05967235565185547,srht,0.0,0.19768664240837097,14393.94140625,0.25,0.4225037097930908,0.4449847340583801,0.0012304207775741816
16.0,0.1,0.875,1.0,Magic,7.0,1.430511474609375e-06,0.36330175399780273,0.6556615829467773,2.82842712474619,None,0.0,0.225064218044281,0.208960622549057,0.09270581603050232,0.233389213681221,0.33937767148017883,2.8284270763397217,2.679077625274658,ts,0.1437687873840332,srht,0.0,0.18927443027496338,12239.5234375,0.25,0.3561397194862366,0.42734086513519287,0.0012451764196157455
16.0,0.1,0.875,0.0,Magic,7.0,9.5367431640625e-07,0.36330175399780273,0.6556615829467773,2.82842712474619,None,0.0,0.47458675503730774,0.4097173810005188,0.37100979685783386,0.4668957591056824,0.0,2.8284270763397217,2.679077625274658,ts,0.08368349075317383,countsketch_scatter,0.0,0.18401680886745453,15505.3818359375,0.25,0.4944092631340027,0.4473780691623688,0.0012295737396925688
16.0,0.1,0.875,0.0,Magic,7.0,1.1920928955078125e-06,0.36330175399780273,0.6556615829467773,2.82842712474619,None,1.0,0.6131237149238586,0.5166995525360107,0.583454966545105,0.5855054259300232,0.0,2.8284270763397217,2.679077625274658,ts,0.05928659439086914,rademacher,0.0,0.24605676531791687,21821.466796875,0.25,0.6557459831237793,0.5012006759643555,0.0012471217196434736
16.0,0.1,0.875,0.0,Magic,7.0,1.430511474609375e-06,0.36330175399780273,0.6556615829467773,2.82842712474619,None,1.0,0.6092813014984131,0.5604968667030334,0.5160321593284607,0.5506373047828674,0.0,2.8284270763397217,2.679077625274658,ts,0.07054758071899414,srht,0.0,0.24342796206474304,17817.494140625,0.25,0.5646296143531799,0.5066202878952026,0.001248739194124937
16.0,0.1,0.875,1.0,Magic,7.0,1.1920928955078125e-06,0.36330175399780273,0.6556615829467773,2.82842712474619,None,1.0,0.3734988868236542,0.36579009890556335,0.22189413011074066,0.36107727885246277,0.5249467492103577,2.8284270763397217,2.679077625274658,ts,0.14941620826721191,srht,0.0,0.18927443027496338,12915.2587890625,0.25,0.40803995728492737,0.44669845700263977,0.0012496680719777942
16.0,0.1,0.875,0.0,Magic,7.0,9.5367431640625e-07,0.36330175399780273,0.6556615829467773,2.82842712474619,None,1.0,0.5521535277366638,0.48095327615737915,0.5238539576530457,0.5547947883605957,0.0,2.8284270763397217,2.679077625274658,ts,0.09546685218811035,countsketch_scatter,0.0,0.19348053634166718,14710.0234375,0.25,0.4102570116519928,0.4416652321815491,0.001231077709235251
32.0,0.1,0.875,0.0,Magic,7.0,1.1920928955078125e-06,0.36330175399780273,0.6556615829467773,2.82842712474619,None,0.0,0.20346170663833618,0.20861411094665527,0.06549742817878723,0.1961730569601059,0.0,2.8284270763397217,2.679077625274658,maclaurin_p,0.06982946395874023,rademacher,0.0,0.183491051197052,12351.0712890625,0.25,0.34421899914741516,0.4269465506076813,0.001105728093534708
32.0,0.1,0.875,0.0,Magic,7.0,1.430511474609375e-06,0.36330175399780273,0.6556615829467773,2.82842712474619,None,0.0,0.2671540677547455,0.2794158458709717,0.15485382080078125,0.30163949728012085,0.0,2.8284270763397217,2.679077625274658,maclaurin_p,0.08355879783630371,srht,0.0,0.1771818995475769,11228.4189453125,0.25,0.3289507329463959,0.4180658459663391,0.0010939568746834993
32.0,0.1,0.875,0.0,Magic,7.0,1.6689300537109375e-06,0.36330175399780273,0.6556615829467773,2.82842712474619,None,0.0,0.4028034508228302,0.49217990040779114,0.26478031277656555,0.39443016052246094,0.0,2.8284270763397217,2.679077625274658,srf,0.05347847938537598,gaussian,0.0,0.16088327765464783,7598.056640625,0.25,0.23513329029083252,0.39248812198638916,0.0010080820647999644
32.0,0.1,0.875,1.0,Magic,7.0,1.1920928955078125e-06,0.36330175399780273,0.6556615829467773,2.82842712474619,None,0.0,0.1565949022769928,0.17545086145401,0.03958289697766304,0.15250392258167267,0.2947467267513275,2.8284270763397217,2.679077625274658,srf,0.0908956527709961,gaussian,0.0,0.15720292925834656,6560.6962890625,0.25,0.18703551590442657,0.3814038634300232,0.0009944320190697908
