seed,N,D,num_clusters,lengthscale_mult,lengthscale,kernel_var,noise_var,method,proj,ctr,feature_dist,mse,rmse,smse,test_kl,test_mnll,test_mean_mse,test_var_mse,cluster_time_ms,test_feature_time_ms
4.0,10000.0,32.0,,0.25,2.1510469913482666,0.06945361196994781,0.1353352814912796,maclaurin,srht,0.0,"[8, 23]",0.03344479203224182,0.18287917331462822,0.47919504254633893,41.431636810302734,0.0440821573138237,0.01421201042830944,3.1281859264709055e-05,0.5285390006974922,1.3196570007494302
4.0,10000.0,32.0,7342,0.25,2.1510469913482666,0.06945361196994781,0.1353352814912796,maclaurin,srht,0.0,"[8, 23]",0.035051196813583374,0.18721964857776913,0.502211517183093,58.72894287109375,0.055571455508470535,0.020351558923721313,8.472834451822564e-06,0.5285390006974922,1023.1503340037307
4.0,10000.0,64.0,,0.25,2.1510469913482666,0.06945361196994781,0.1353352814912796,rff,gaussian,0.0,None,0.0288702379912138,0.16991244213186332,0.41365109728252347,33.21888732910156,0.02860589325428009,0.011422130279242992,2.463152486598119e-05,0.5285390006974922,0.3630820001490065
4.0,10000.0,64.0,,0.25,2.1510469913482666,0.06945361196994781,0.1353352814912796,rff,srht,0.0,None,0.030591705814003944,0.17490484788594038,0.4383161885107431,35.86819076538086,0.035053838044404984,0.012326927855610847,2.4236211174866185e-05,0.5285390006974922,0.61589299912157
4.0,10000.0,64.0,,0.25,2.1510469913482666,0.06945361196994781,0.1353352814912796,maclaurin,rademacher,0.0,"[33, 30]",0.02918246202170849,0.1708287505711743,0.4181246251021211,32.792335510253906,0.028655560687184334,0.011241035535931587,3.045758421649225e-05,0.5285390006974922,0.9520040002826136
4.0,10000.0,64.0,7342,0.25,2.1510469913482666,0.06945361196994781,0.1353352814912796,maclaurin,rademacher,0.0,"[33, 30]",0.031043298542499542,0.1761910853093866,0.44478658296069057,46.491355895996094,0.04163270816206932,0.016095686703920364,7.493048997275764e-06,0.5285390006974922,745.4350319940204
4.0,10000.0,64.0,,0.25,2.1510469913482666,0.06945361196994781,0.1353352814912796,maclaurin,srht,0.0,"[8, 55]",0.028700679540634155,0.16941274904986978,0.4112216736263299,29.670087814331055,0.027188580483198166,0.010172609239816666,2.9413724405458197e-05,0.5285390006974922,1.3754909996350762
4.0,10000.0,64.0,7342,0.25,2.1510469913482666,0.06945361196994781,0.1353352814912796,maclaurin,srht,0.0,"[8, 55]",0.02338610403239727,0.152925158271611,0.3350747436549852,28.463220596313477,0.015456460416316986,0.009875478222966194,4.520834409049712e-06,0.5285390006974922,1019.2229740005132
4.0,10000.0,128.0,,0.25,2.1510469913482666,0.06945361196994781,0.1353352814912796,rff,gaussian,0.0,None,0.02209431678056717,0.14864157150867038,0.31656609075306874,18.562911987304688,0.006031505297869444,0.006378130055963993,1.7050322639988735e-05,0.5285390006974922,0.3550020001057419
4.0,10000.0,128.0,,0.25,2.1510469913482666,0.06945361196994781,0.1353352814912796,rff,srht,0.0,None,0.026604149490594864,0.16310778488654323,0.38118271253607267,25.544544219970703,0.022240489721298218,0.0088021419942379,1.753126343828626e-05,0.5285390006974922,0.6161510000310955
