D,alpha,bias,comp,dataset,degree,dist_est_time,est_len,feature_dist,hier,k_mean_error,k_mean_rel_error,k_mse,k_rel_frob_error,kernel_len,kernel_var,method,pred_time,proj,seed,test_error,test_kl,test_mean_mse,test_mnll,test_var_mse
8.0,0.1,0.875,1.0,Cod_rna,20.0,9.5367431640625e-07,2.82842712474619,None,0.0,0.4432072043418884,2.2032456398010254,0.6434367299079895,1.311443567276001,2.8284270763397217,2.6790223121643066,ts,0.690643310546875,rademacher,0.0,0.24992544949054718,50489.2421875,1.3488118648529053,0.4924915134906769,0.012945135124027729
8.0,0.1,0.875,0.0,Cod_rna,20.0,1.1920928955078125e-06,2.82842712474619,None,0.0,0.31173381209373474,0.7760894298553467,0.34809374809265137,0.9645946025848389,2.8284270763397217,2.6790223121643066,ts,0.616563081741333,srht,0.0,0.2353203296661377,52572.73046875,1.4052948951721191,0.4930782616138458,0.012938947416841984
8.0,0.1,0.875,1.0,Cod_rna,20.0,1.6689300537109375e-06,2.82842712474619,None,0.0,0.2958001494407654,1.4810601472854614,0.2836567461490631,0.8707495927810669,2.8284270763397217,2.6790223121643066,ts,0.7562229633331299,srht,0.0,0.21770361065864563,45961.734375,1.3028467893600464,0.47117024660110474,0.012940388172864914
8.0,0.1,0.875,0.0,Cod_rna,20.0,1.6689300537109375e-06,2.82842712474619,None,0.0,0.7512462139129639,2.9851884841918945,9.005291938781738,4.9062042236328125,2.8284270763397217,2.6790223121643066,ts,1.4209396839141846,countsketch_scatter,0.0,0.2526756525039673,55527.171875,1.6068774461746216,0.5408920645713806,0.013037240132689476
8.0,0.1,0.875,0.0,Cod_rna,20.0,1.1920928955078125e-06,2.82842712474619,None,1.0,0.40036439895629883,1.812545895576477,0.3907356858253479,1.0219701528549194,2.8284270763397217,2.6790223121643066,ts,0.6541941165924072,srht,0.0,0.2966640591621399,69682.796875,1.816035509109497,0.6035782098770142,0.013011815957725048
8.0,0.1,0.875,1.0,Cod_rna,20.0,1.430511474609375e-06,2.82842712474619,None,1.0,0.35322368144989014,1.7469843626022339,0.2707567512989044,0.8507194519042969,2.8284270763397217,2.6790223121643066,ts,1.0429823398590088,srht,0.0,0.2626308500766754,59029.5234375,1.6237722635269165,0.5608394145965576,0.013028259389102459
8.0,0.1,0.875,0.0,Cod_rna,20.0,1.430511474609375e-06,2.82842712474619,None,1.0,0.37740784883499146,1.8315606117248535,0.33104220032691956,0.9406723380088806,2.8284270763397217,2.6790223121643066,ts,2.7728147506713867,countsketch_scatter,0.0,0.23756246268749237,54691.140625,1.4699264764785767,0.5266498923301697,0.013034997507929802
16.0,0.1,0.875,0.0,Cod_rna,20.0,2.1457672119140625e-06,2.82842712474619,None,0.0,0.4453248083591461,5.453361988067627,0.306598037481308,0.9052767753601074,2.8284270763397217,2.6790223121643066,srf,0.5620014667510986,gaussian,0.0,0.263201504945755,50382.9140625,1.5986078977584839,0.5427069664001465,0.0126187140122056
16.0,0.1,0.875,1.0,Cod_rna,20.0,1.6689300537109375e-06,2.82842712474619,None,0.0,0.3565305471420288,4.9080352783203125,0.19996796548366547,0.7311002612113953,2.8284270763397217,2.6790223121643066,srf,0.6641952991485596,gaussian,0.0,0.23406857252120972,48790.921875,1.4702537059783936,0.5051960349082947,0.012630850076675415
16.0,0.1,0.875,0.0,Cod_rna,20.0,1.6689300537109375e-06,2.82842712474619,None,0.0,0.3585461676120758,5.297850608825684,0.21346963942050934,0.7553787231445312,2.8284270763397217,2.6790223121643066,srf,0.5718142986297607,srht,0.0,0.19830496609210968,39629.9765625,1.1937272548675537,0.44692713022232056,0.01261198054999113
