dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,ahle,tree,kernel_var,kernel_len,test_error,test_mnll,test_label_var,k_frob_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
FashionMNIST,srf,3,0.5,srht,False,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.125,0.37257617712020874,0.09000000357627869,792.0016479492188,0.18510624766349792,630.2672729492188,0.21461544930934906,0.012472257949411869,3072,10240,None,0.01,0.05683493614196777,4.559058904647827,0
FashionMNIST,srf,3,0.5,srht,True,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.1241999939084053,0.3595050573348999,0.09000000357627869,744.3865356445312,0.17397765815258026,334.4399719238281,0.11312615871429443,0.012643644586205482,3072,10240,None,0.01,0.0877389907836914,4.8842291831970215,0
FashionMNIST,maclaurin,3,0.5,rademacher,False,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.1274999976158142,0.37468576431274414,0.09000000357627869,395.1872253417969,0.09236297011375427,651.6873168945312,0.18936753273010254,0.06345868110656738,3072,10240,"[1188, 1363, 520]",0.01,0.10116744041442871,4.560070753097534,0
FashionMNIST,maclaurin,3,0.5,rademacher,True,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.12610000371932983,0.3650190830230713,0.09000000357627869,336.5294494628906,0.0786534994840622,374.1706237792969,0.09780155122280121,0.06091658025979996,3072,10240,"[1240, 1351, 480]",0.01,0.31745433807373047,4.875744581222534,0
FashionMNIST,maclaurin,3,0.5,srht,False,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.13189999759197235,0.37489375472068787,0.09000000357627869,251.90093994140625,0.05887416750192642,534.9940185546875,0.16141073405742645,0.046852268278598785,3072,10240,"[1024, 1445, 602]",0.01,0.07451105117797852,4.571894884109497,0
FashionMNIST,maclaurin,3,0.5,srht,True,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.12559999525547028,0.3603847026824951,0.09000000357627869,231.17626953125,0.0540304072201252,306.3731689453125,0.08378376811742783,0.043544795364141464,3072,10240,"[1024, 1476, 571]",0.01,0.16373348236083984,4.88511848449707,0
FashionMNIST,poly_sketch,3,0.5,gaussian,False,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.12700000405311584,0.3716225028038025,0.09000000357627869,682.7166137695312,0.15956419706344604,663.5657348632812,0.1958652138710022,0.07381122559309006,3072,10240,None,0.01,0.12840604782104492,4.578633069992065,0
FashionMNIST,poly_sketch,3,0.5,gaussian,True,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.121799997985363,0.35070282220840454,0.09000000357627869,514.1325073242188,0.12016279995441437,351.9939880371094,0.09434880316257477,0.05919988080859184,3072,10240,None,0.01,0.4814450740814209,4.908125877380371,0
FashionMNIST,poly_sketch,3,0.5,rademacher,False,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.12780000269412994,0.37484365701675415,0.09000000357627869,451.6361999511719,0.1055561974644661,539.9910888671875,0.1662120223045349,0.04872708022594452,3072,10240,None,0.01,0.11987614631652832,4.58124852180481,0
FashionMNIST,poly_sketch,3,0.5,rademacher,True,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.12309999763965607,0.3562384247779846,0.09000000357627869,368.9454650878906,0.08622975647449493,299.8748779296875,0.08367687463760376,0.04494869336485863,3072,10240,None,0.01,0.4665560722351074,4.8981852531433105,0
