proj,complex_real,hierarchical,D,error_prob
rademacher,0.0,0.0,576.0,0.027233334258198738
rademacher,0.0,0.0,640.0,0.018699999898672104
rademacher,0.0,0.0,704.0,0.014733333140611649
rademacher,0.0,0.0,768.0,0.008966666646301746
rademacher,0.0,0.0,832.0,0.00793333351612091
rademacher,0.0,0.0,896.0,0.005366666708141565
rademacher,0.0,0.0,960.0,0.004600000102072954
rademacher,0.0,0.0,1024.0,0.002933333395048976
rademacher,0.0,0.0,1088.0,0.0015333333285525441
rademacher,0.0,0.0,1152.0,0.001366666634567082
rademacher,0.0,0.0,1216.0,0.0012000000569969416
rademacher,0.0,0.0,1280.0,0.0009333333582617342
rademacher,0.0,0.0,1344.0,0.0006333333440124989
rademacher,0.0,0.0,1408.0,0.0004666666791308671
rademacher,0.0,0.0,1472.0,0.000366666674381122
rademacher,0.0,0.0,1536.0,0.00019999999494757503
rademacher,0.0,0.0,1600.0,0.00019999999494757503
rademacher,0.0,0.0,1664.0,3.333333370392211e-05
rademacher,0.0,0.0,1728.0,0.00013333333481568843
rademacher,0.0,0.0,1792.0,9.999999747378752e-05
rademacher,0.0,0.0,1856.0,0.0
rademacher,1.0,0.0,64.0,0.3535333275794983
rademacher,1.0,0.0,128.0,0.195700004696846
rademacher,1.0,0.0,192.0,0.11996666342020035
rademacher,1.0,0.0,256.0,0.07126666605472565
rademacher,1.0,0.0,320.0,0.04156666621565819
rademacher,1.0,0.0,384.0,0.02539999969303608
rademacher,1.0,0.0,448.0,0.01640000008046627
rademacher,1.0,0.0,512.0,0.009566666558384895
rademacher,1.0,0.0,576.0,0.0066999997943639755
rademacher,1.0,0.0,640.0,0.004466666840016842
rademacher,1.0,0.0,704.0,0.002733333269134164
rademacher,1.0,0.0,768.0,0.0015999999595806003
rademacher,1.0,0.0,832.0,0.001500000013038516
rademacher,1.0,0.0,896.0,0.0006333333440124989
rademacher,1.0,0.0,960.0,0.00026666666963137686
rademacher,1.0,0.0,1024.0,0.0003000000142492354
rademacher,1.0,0.0,1088.0,9.999999747378752e-05
rademacher,1.0,0.0,1152.0,3.333333370392211e-05
rademacher,1.0,0.0,1216.0,6.666666740784422e-05
rademacher,1.0,0.0,1280.0,0.0
rademacher,1.0,0.0,1344.0,0.0
rademacher,1.0,0.0,1408.0,0.0
rademacher,1.0,0.0,1472.0,0.0
rademacher,1.0,0.0,1536.0,0.0
rademacher,1.0,0.0,1600.0,0.0
rademacher,1.0,0.0,1664.0,0.0
rademacher,1.0,0.0,1728.0,0.0
rademacher,1.0,0.0,1792.0,0.0
rademacher,1.0,0.0,1856.0,0.0
srht,0.0,0.0,64.0,0.4548666775226593
srht,0.0,0.0,128.0,0.19753333926200867
srht,0.0,0.0,192.0,0.1017666682600975
srht,0.0,0.0,256.0,0.06246666610240936
srht,0.0,0.0,320.0,0.030899999663233757
srht,0.0,0.0,384.0,0.018266666680574417
srht,0.0,0.0,448.0,0.007799999788403511
srht,0.0,0.0,512.0,0.006033333484083414
srht,0.0,0.0,576.0,0.0038333332631736994
srht,0.0,0.0,640.0,0.0015999999595806003
srht,0.0,0.0,704.0,0.0010666666785255075
srht,0.0,0.0,768.0,0.0006000000284984708
srht,0.0,0.0,832.0,0.00026666666963137686
srht,0.0,0.0,896.0,0.00023333333956543356
srht,0.0,0.0,960.0,6.666666740784422e-05
srht,0.0,0.0,1024.0,0.00013333333481568843
srht,0.0,0.0,1088.0,3.333333370392211e-05
srht,0.0,0.0,1152.0,3.333333370392211e-05
srht,0.0,0.0,1216.0,0.0
srht,0.0,0.0,1280.0,0.0
srht,0.0,0.0,1344.0,0.0
srht,0.0,0.0,1408.0,0.0
srht,0.0,0.0,1472.0,0.0
srht,0.0,0.0,1536.0,0.0
srht,0.0,0.0,1600.0,0.0
srht,0.0,0.0,1664.0,0.0
srht,0.0,0.0,1728.0,0.0
srht,0.0,0.0,1792.0,0.0
srht,0.0,0.0,1856.0,0.0
srht,1.0,0.0,64.0,0.23496666550636292
srht,1.0,0.0,128.0,0.0752333328127861
srht,1.0,0.0,192.0,0.06759999692440033
srht,1.0,0.0,256.0,0.030633334070444107
srht,1.0,0.0,320.0,0.024399999529123306
srht,1.0,0.0,384.0,0.013433333486318588
srht,1.0,0.0,448.0,0.01269999984651804
srht,1.0,0.0,512.0,0.008033333346247673
srht,1.0,0.0,576.0,0.006533333566039801
srht,1.0,0.0,640.0,0.00426666671410203
srht,1.0,0.0,704.0,0.004066666588187218
srht,1.0,0.0,768.0,0.0024999999441206455
srht,1.0,0.0,832.0,0.0017666666535660625
srht,1.0,0.0,896.0,0.0011333333095535636
srht,1.0,0.0,960.0,0.0008999999845400453
srht,1.0,0.0,1024.0,0.0008333333535119891
srht,1.0,0.0,1088.0,0.0006000000284984708
srht,1.0,0.0,1152.0,0.0004333333345130086
srht,1.0,0.0,1216.0,0.0005000000237487257
srht,1.0,0.0,1280.0,0.00023333333956543356
srht,1.0,0.0,1344.0,0.00019999999494757503
srht,1.0,0.0,1408.0,9.999999747378752e-05
srht,1.0,0.0,1472.0,0.00016666666488163173
srht,1.0,0.0,1536.0,9.999999747378752e-05
srht,1.0,0.0,1600.0,0.00013333333481568843
srht,1.0,0.0,1664.0,3.333333370392211e-05
srht,1.0,0.0,1728.0,9.999999747378752e-05
srht,1.0,0.0,1792.0,3.333333370392211e-05
srht,1.0,0.0,1856.0,0.0
