D,complex_real,error_prob,error_std,hierarchical,p,proj
192.0,0.0,0.20786666870117188,0.0,0.0,2.0,gaussian
256.0,0.0,0.14686666429042816,0.0,0.0,2.0,gaussian
320.0,0.0,0.10786666721105576,0.0,0.0,2.0,gaussian
384.0,0.0,0.07613333314657211,0.0,0.0,2.0,gaussian
448.0,0.0,0.060733333230018616,0.0,0.0,2.0,gaussian
512.0,0.0,0.043033331632614136,0.0,0.0,2.0,gaussian
576.0,0.0,0.03359999880194664,0.0,0.0,2.0,gaussian
640.0,0.0,0.025499999523162842,0.0,0.0,2.0,gaussian
704.0,0.0,0.019366666674613953,0.0,0.0,2.0,gaussian
768.0,0.0,0.017033332958817482,0.0,0.0,2.0,gaussian
832.0,0.0,0.011566666886210442,0.0,0.0,2.0,gaussian
896.0,0.0,0.009233333170413971,0.0,0.0,2.0,gaussian
960.0,0.0,0.006866666488349438,0.0,0.0,2.0,gaussian
1024.0,0.0,0.0069333333522081375,0.0,0.0,2.0,gaussian
1088.0,0.0,0.0049333334900438786,0.0,0.0,2.0,gaussian
1152.0,0.0,0.0032333333510905504,0.0,0.0,2.0,gaussian
1216.0,0.0,0.003533333307132125,0.0,0.0,2.0,gaussian
1280.0,0.0,0.0024333333130925894,0.0,0.0,2.0,gaussian
1344.0,0.0,0.0024333333130925894,0.0,0.0,2.0,gaussian
1408.0,0.0,0.00139999995008111,0.0,0.0,2.0,gaussian
1472.0,0.0,0.001366666634567082,0.0,0.0,2.0,gaussian
1536.0,0.0,0.0011333333095535636,0.0,0.0,2.0,gaussian
1600.0,0.0,0.000733333348762244,0.0,0.0,2.0,gaussian
1664.0,0.0,0.0008333333535119891,0.0,0.0,2.0,gaussian
1728.0,0.0,0.0005000000237487257,0.0,0.0,2.0,gaussian
1792.0,0.0,0.00033333332976326346,0.0,0.0,2.0,gaussian
1856.0,0.0,0.00023333333956543356,0.0,0.0,2.0,gaussian
64.0,1.0,0.39346668124198914,0.0,0.0,2.0,gaussian
128.0,1.0,0.23333333432674408,0.0,0.0,2.0,gaussian
192.0,1.0,0.14923332631587982,0.0,0.0,2.0,gaussian
256.0,1.0,0.09696666896343231,0.0,0.0,2.0,gaussian
320.0,1.0,0.06393333524465561,0.0,0.0,2.0,gaussian
384.0,1.0,0.043433334678411484,0.0,0.0,2.0,gaussian
448.0,1.0,0.032499998807907104,0.0,0.0,2.0,gaussian
512.0,1.0,0.020933333784341812,0.0,0.0,2.0,gaussian
576.0,1.0,0.014700000174343586,0.0,0.0,2.0,gaussian
640.0,1.0,0.010333333164453506,0.0,0.0,2.0,gaussian
704.0,1.0,0.007833333685994148,0.0,0.0,2.0,gaussian
768.0,1.0,0.005833333358168602,0.0,0.0,2.0,gaussian
832.0,1.0,0.004066666588187218,0.0,0.0,2.0,gaussian
896.0,1.0,0.0031999999191612005,0.0,0.0,2.0,gaussian
960.0,1.0,0.002199999988079071,0.0,0.0,2.0,gaussian
1024.0,1.0,0.0018333332845941186,0.0,0.0,2.0,gaussian
1088.0,1.0,0.00139999995008111,0.0,0.0,2.0,gaussian
1152.0,1.0,0.000699999975040555,0.0,0.0,2.0,gaussian
1216.0,1.0,0.000733333348762244,0.0,0.0,2.0,gaussian
1280.0,1.0,0.0005333333392627537,0.0,0.0,2.0,gaussian
1344.0,1.0,0.00039999998989515007,0.0,0.0,2.0,gaussian
1408.0,1.0,9.999999747378752e-05,0.0,0.0,2.0,gaussian
1472.0,1.0,0.00019999999494757503,0.0,0.0,2.0,gaussian
1536.0,1.0,0.00016666666488163173,0.0,0.0,2.0,gaussian
1600.0,1.0,3.333333370392211e-05,0.0,0.0,2.0,gaussian
