dataset,method,degree,bias,proj,comp,comp_real,full_cov,hier,kernel_var,kernel_len,test_error,test_mnll,test_label_var,k_mse,k_mean_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,feature_dist,noise_var,feature_time,pred_time,seed
MNIST,srf,20.0,0.875,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,2.8284270763397217,0.022199999541044235,0.07249750941991806,0.09000000357627869,0.01565518043935299,0.09954893589019775,0.05673122778534889,502.3503112792969,0.4326874911785126,0.27429264783859253,5120.0,None,0.001,0.09161376953125,4.632631778717041,2.0
MNIST,poly_sketch,20.0,0.875,srht,0.0,0.0,1.0,0.0,9.027409553527832,2.8284270763397217,0.02979999966919422,0.09622570872306824,0.09000000357627869,0.34592950344085693,0.42372968792915344,0.2666778266429901,1969.8719482421875,1.01778244972229,2.2984652519226074,5120.0,None,0.001,0.42980051040649414,4.633737802505493,2.0
MNIST,poly_sketch,20.0,0.875,srht,0.0,1.0,1.0,0.0,9.027409553527832,2.8284270763397217,0.02459999918937683,0.07583910971879959,0.09000000357627869,0.166556715965271,0.2792764902114868,0.18504364788532257,1086.2642822265625,0.7032527327537537,1.1825268268585205,5120.0,None,0.001,0.6379075050354004,4.6317222118377686,2.0
MNIST,poly_sketch,20.0,0.875,countsketch_scatter,0.0,0.0,0.0,0.0,9.027409553527832,2.8284270763397217,0.022499999031424522,0.07467663288116455,0.09000000357627869,0.1365734338760376,0.2632909119129181,0.16756227612495422,1031.3375244140625,0.7141293287277222,1.0035016536712646,5120.0,None,0.001,0.953261137008667,4.638568639755249,2.0
MNIST,srf,20.0,0.875,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,2.8284270763397217,0.02070000022649765,0.0663856789469719,0.09000000357627869,0.011437641456723213,0.0852583572268486,0.04849102720618248,416.2621765136719,0.36714687943458557,0.18493643403053284,6144.0,None,0.001,0.1079092025756836,6.451860427856445,2.0
MNIST,poly_sketch,20.0,0.875,srht,0.0,0.0,1.0,0.0,9.027409553527832,2.8284270763397217,0.02759999968111515,0.08830878138542175,0.09000000357627869,0.2091495841741562,0.3266293406486511,0.20735840499401093,1735.8060302734375,0.9433736205101013,2.0201780796051025,6144.0,None,0.001,0.4855515956878662,6.451666831970215,2.0
MNIST,poly_sketch,20.0,0.875,srht,0.0,1.0,1.0,0.0,9.027409553527832,2.8284270763397217,0.023799998685717583,0.07510723918676376,0.09000000357627869,0.10209690779447556,0.22536945343017578,0.14487700164318085,907.2035522460938,0.6045581698417664,0.9630594849586487,6144.0,None,0.001,0.6988081932067871,6.454905271530151,2.0
MNIST,poly_sketch,20.0,0.875,countsketch_scatter,0.0,0.0,0.0,0.0,9.027409553527832,2.8284270763397217,0.023599999025464058,0.07362417131662369,0.09000000357627869,0.10088790208101273,0.224968820810318,0.14401663839817047,948.1949462890625,0.6328054666519165,0.9867902994155884,6144.0,None,0.001,1.143803358078003,6.46188759803772,2.0
MNIST,srf,20.0,0.875,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,2.8284270763397217,0.01979999989271164,0.06603667885065079,0.09000000357627869,0.009831986390054226,0.07910837233066559,0.044958703219890594,353.3014221191406,0.31807953119277954,0.13261371850967407,7168.0,None,0.001,0.15583443641662598,8.598597764968872,2.0
MNIST,poly_sketch,20.0,0.875,srht,0.0,0.0,1.0,0.0,9.027409553527832,2.8284270763397217,0.025599999353289604,0.08067353069782257,0.09000000357627869,0.425018310546875,0.3837038278579712,0.2955949008464813,1566.1588134765625,0.8633937835693359,1.8650233745574951,7168.0,None,0.001,0.6283748149871826,8.598447322845459,2.0
MNIST,poly_sketch,20.0,0.875,srht,0.0,1.0,1.0,0.0,9.027409553527832,2.8284270763397217,0.02159999869763851,0.06735236942768097,0.09000000357627869,0.0899571105837822,0.21310971677303314,0.13599123060703278,816.9564819335938,0.5644661784172058,0.8131937980651855,7168.0,None,0.001,0.7577548027038574,8.60024642944336,2.0
MNIST,poly_sketch,20.0,0.875,countsketch_scatter,0.0,0.0,0.0,0.0,9.027409553527832,2.8284270763397217,0.021800000220537186,0.06990274786949158,0.09000000357627869,0.06546927243471146,0.18595096468925476,0.11601440608501434,769.4210205078125,0.5390602350234985,0.7496840953826904,7168.0,None,0.001,1.3118886947631836,8.60000991821289,2.0
MNIST,srf,20.0,0.875,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,2.8284270763397217,0.018699999898672104,0.062026895582675934,0.09000000357627869,0.011401067487895489,0.08521544188261032,0.04841343313455582,302.0684509277344,0.27319198846817017,0.10416681319475174,8192.0,None,0.001,0.18116164207458496,11.168263912200928,2.0
MNIST,poly_sketch,20.0,0.875,srht,0.0,0.0,1.0,0.0,9.027409553527832,2.8284270763397217,0.025699999183416367,0.08046405017375946,0.09000000357627869,0.31922659277915955,0.2942444384098053,0.25617849826812744,1424.0726318359375,0.8097408413887024,1.654055118560791,8192.0,None,0.001,0.7060525417327881,11.163718223571777,2.0
MNIST,poly_sketch,20.0,0.875,srht,0.0,1.0,1.0,0.0,9.027409553527832,2.8284270763397217,0.020600000396370888,0.06736133247613907,0.09000000357627869,0.09015125781297684,0.20387572050094604,0.13613790273666382,732.3368530273438,0.5117707848548889,0.7053954601287842,8192.0,None,0.001,0.882138729095459,11.165849447250366,2.0
MNIST,poly_sketch,20.0,0.875,countsketch_scatter,0.0,0.0,0.0,0.0,9.027409553527832,2.8284270763397217,0.020099999383091927,0.06676416099071503,0.09000000357627869,0.06156696006655693,0.19301584362983704,0.11250374466180801,763.55224609375,0.5263025760650635,0.7859699726104736,8192.0,None,0.001,1.2702643871307373,11.16600489616394,2.0
MNIST,srf,20.0,0.875,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,2.8284270763397217,0.019600000232458115,0.06177821010351181,0.09000000357627869,0.009040563367307186,0.07579310238361359,0.043111275881528854,269.8663024902344,0.24812941253185272,0.07905320823192596,9216.0,None,0.001,0.33199167251586914,14.151005744934082,2.0
MNIST,poly_sketch,20.0,0.875,srht,0.0,0.0,1.0,0.0,9.027409553527832,2.8284270763397217,0.024699999019503593,0.0770605131983757,0.09000000357627869,0.2877435088157654,0.3271135687828064,0.2432180941104889,1296.1484375,0.7279135584831238,1.5587304830551147,9216.0,None,0.001,0.7082080841064453,14.153892278671265,2.0
MNIST,poly_sketch,20.0,0.875,srht,0.0,1.0,1.0,0.0,9.027409553527832,2.8284270763397217,0.019999999552965164,0.06466162204742432,0.09000000357627869,0.10434801131486893,0.196155846118927,0.1464654505252838,658.5980834960938,0.48182213306427,0.5668827295303345,9216.0,None,0.001,0.9531559944152832,14.171082258224487,2.0
MNIST,poly_sketch,20.0,0.875,countsketch_scatter,0.0,0.0,0.0,0.0,9.027409553527832,2.8284270763397217,0.019500000402331352,0.06620367616415024,0.09000000357627869,0.06361299008131027,0.18498429656028748,0.11435786634683609,646.3038330078125,0.4801396429538727,0.5383939743041992,9216.0,None,0.001,1.6898090839385986,14.15246033668518,2.0
MNIST,srf,20.0,0.875,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,2.8284270763397217,0.020099999383091927,0.06279265135526657,0.09000000357627869,0.007918606512248516,0.07097102701663971,0.04034758359193802,236.637939453125,0.21776074171066284,0.057027868926525116,10240.0,None,0.001,0.37094783782958984,17.430983066558838,2.0
MNIST,poly_sketch,20.0,0.875,srht,0.0,0.0,1.0,0.0,9.027409553527832,2.8284270763397217,0.02459999918937683,0.07734839618206024,0.09000000357627869,0.24863164126873016,0.2872224748134613,0.22608478367328644,1242.1727294921875,0.7025986313819885,1.5790060758590698,10240.0,None,0.001,0.926297664642334,17.41775918006897,2.0
MNIST,poly_sketch,20.0,0.875,srht,0.0,1.0,1.0,0.0,9.027409553527832,2.8284270763397217,0.019199999049305916,0.0648164302110672,0.09000000357627869,0.10570281744003296,0.22083733975887299,0.1474132090806961,601.9603881835938,0.4447227120399475,0.515730619430542,10240.0,None,0.001,1.0388474464416504,17.43771767616272,2.0
MNIST,poly_sketch,20.0,0.875,countsketch_scatter,0.0,0.0,0.0,0.0,9.027409553527832,2.8284270763397217,0.019999999552965164,0.06235332041978836,0.09000000357627869,0.045641884207725525,0.15994492173194885,0.09686679393053055,591.03125,0.425901859998703,0.5463890433311462,10240.0,None,0.001,1.9368681907653809,17.399842262268066,2.0
MNIST,srf,20.0,0.875,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,2.8284270763397217,0.14180000126361847,0.4603020250797272,0.09000000357627869,0.5493273735046387,0.5915347337722778,0.33340510725975037,11477.5419921875,5.416288375854492,5.8278656005859375,128.0,None,0.001,0.01732039451599121,0.04422569274902344,3.0
MNIST,poly_sketch,20.0,0.875,srht,0.0,0.0,1.0,0.0,9.027409553527832,2.8284270763397217,0.17090000212192535,0.5674608945846558,0.09000000357627869,31.743881225585938,2.2174997329711914,2.5344672203063965,14670.6845703125,7.206613540649414,5.877888202667236,128.0,None,0.001,0.11325454711914062,0.04388618469238281,3.0
MNIST,poly_sketch,20.0,0.875,srht,0.0,1.0,1.0,0.0,9.027409553527832,2.8284270763397217,0.15779998898506165,0.5304498672485352,0.09000000357627869,1.9629958868026733,1.0173999071121216,0.6302550435066223,12770.2216796875,6.264667510986328,5.8327250480651855,128.0,None,0.001,0.3306450843811035,0.027780771255493164,3.0
MNIST,poly_sketch,20.0,0.875,countsketch_scatter,0.0,0.0,0.0,0.0,9.027409553527832,2.8284270763397217,0.1687999963760376,0.5448861718177795,0.09000000357627869,1.3023059368133545,0.8589873313903809,0.5133495330810547,13141.275390625,6.506296157836914,5.837854862213135,128.0,None,0.001,0.11380958557128906,0.028360843658447266,3.0
MNIST,srf,20.0,0.875,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,2.8284270763397217,0.10260000079870224,0.3309999406337738,0.09000000357627869,0.28044554591178894,0.4225480854511261,0.23822148144245148,8201.6162109375,4.10807991027832,5.281429767608643,256.0,None,0.001,0.017734527587890625,0.05299735069274902,3.0
MNIST,poly_sketch,20.0,0.875,srht,0.0,0.0,1.0,0.0,9.027409553527832,2.8284270763397217,0.11599999666213989,0.39119648933410645,0.09000000357627869,8.118128776550293,1.2818881273269653,1.281694769859314,10974.689453125,5.3486785888671875,5.534774303436279,256.0,None,0.001,0.12538528442382812,0.05782461166381836,3.0
MNIST,poly_sketch,20.0,0.875,srht,0.0,1.0,1.0,0.0,9.027409553527832,2.8284270763397217,0.11029999703168869,0.35764986276626587,0.09000000357627869,1.2536563873291016,0.7667496204376221,0.503669798374176,8832.4677734375,4.3289475440979,5.350530624389648,256.0,None,0.001,0.3311035633087158,0.05121731758117676,3.0
MNIST,poly_sketch,20.0,0.875,countsketch_scatter,0.0,0.0,0.0,0.0,9.027409553527832,2.8284270763397217,0.10489999502897263,0.34210649132728577,0.09000000357627869,1.1158649921417236,0.7217708230018616,0.47518473863601685,8759.986328125,4.224942207336426,5.348618507385254,256.0,None,0.001,0.12957382202148438,0.05212545394897461,3.0
MNIST,srf,20.0,0.875,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,2.8284270763397217,0.0648999959230423,0.20610885322093964,0.09000000357627869,0.13643868267536163,0.2944165766239166,0.16615958511829376,5114.29833984375,2.7697484493255615,4.254693508148193,512.0,None,0.001,0.0187075138092041,0.10496640205383301,3.0
MNIST,poly_sketch,20.0,0.875,srht,0.0,0.0,1.0,0.0,9.027409553527832,2.8284270763397217,0.08139999955892563,0.27675995230674744,0.09000000357627869,1.3421763181686401,0.7746849656105042,0.5211484432220459,7778.62744140625,3.7198140621185303,5.009697437286377,512.0,None,0.001,0.14101076126098633,0.10641646385192871,3.0
MNIST,poly_sketch,20.0,0.875,srht,0.0,1.0,1.0,0.0,9.027409553527832,2.8284270763397217,0.07050000131130219,0.2311292439699173,0.09000000357627869,0.6284658908843994,0.5647954344749451,0.35661327838897705,5813.41650390625,2.8441810607910156,4.6172404289245605,512.0,None,0.001,0.3573765754699707,0.10318303108215332,3.0
MNIST,poly_sketch,20.0,0.875,countsketch_scatter,0.0,0.0,0.0,0.0,9.027409553527832,2.8284270763397217,0.06859999895095825,0.22171010076999664,0.09000000357627869,3.3957653045654297,1.2273765802383423,0.8289446234703064,6022.79541015625,2.9998319149017334,4.613161563873291,512.0,None,0.001,0.1614680290222168,0.10614705085754395,3.0
MNIST,srf,20.0,0.875,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,2.8284270763397217,0.04800000041723251,0.149277001619339,0.09000000357627869,0.0739920437335968,0.21678170561790466,0.12236273288726807,2932.029541015625,1.8504431247711182,2.728787660598755,1024.0,None,0.001,0.02877974510192871,0.25908946990966797,3.0
MNIST,poly_sketch,20.0,0.875,srht,0.0,0.0,1.0,0.0,9.027409553527832,2.8284270763397217,0.05460000038146973,0.18402673304080963,0.09000000357627869,1.1008801460266113,0.7477931380271912,0.47198331356048584,5383.61474609375,2.577854871749878,4.298437118530273,1024.0,None,0.001,0.17325735092163086,0.25937700271606445,3.0
MNIST,poly_sketch,20.0,0.875,srht,0.0,1.0,1.0,0.0,9.027409553527832,2.8284270763397217,0.04859999939799309,0.1572989821434021,0.09000000357627869,0.3076801300048828,0.4195663630962372,0.24952057003974915,3692.583251953125,1.8571643829345703,3.6135921478271484,1024.0,None,0.001,0.3977055549621582,0.2648351192474365,3.0
MNIST,poly_sketch,20.0,0.875,countsketch_scatter,0.0,0.0,0.0,0.0,9.027409553527832,2.8284270763397217,0.0478999987244606,0.15617389976978302,0.09000000357627869,0.3083988130092621,0.42832502722740173,0.2498118281364441,3710.68994140625,1.9043927192687988,3.596928358078003,1024.0,None,0.001,0.2283766269683838,0.2604222297668457,3.0
MNIST,srf,20.0,0.875,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,2.8284270763397217,0.03350000083446503,0.10630416870117188,0.09000000357627869,0.03475455567240715,0.1486404538154602,0.08386147767305374,1416.5648193359375,1.0269391536712646,1.243481159210205,2048.0,None,0.001,0.044611454010009766,0.9684362411499023,3.0
