D,bias,comp,comp_real,dataset,degree,feature_dist,feature_time,full_cov,hier,k_mean_error,k_mse,k_rel_frob_error,kernel_len,kernel_var,method,noise_var,pred_time,proj,seed,test_error,test_kl,test_label_var,test_mean_mse,test_mnll,test_var_mse
2048.0,0.5,0.0,1.0,MNIST,6.0,None,0.1542513370513916,1.0,0.0,0.377185583114624,0.269875168800354,0.35142064094543457,1.4142135381698608,9.027409553527832,poly_sketch,0.001,0.9890842437744141,srht,0.0,0.03749999776482582,1943.4007568359375,0.09000000357627869,1.3515424728393555,0.11865872144699097,3.4545812606811523
2048.0,0.5,0.0,0.0,MNIST,6.0,None,0.10688185691833496,0.0,0.0,1.256256341934204,2.1852867603302,1.0,1.4142135381698608,9.027409553527832,poly_sketch,0.001,1.0560312271118164,countsketch_scatter,0.0,0.8865000009536743,80627.1015625,0.09000000357627869,7.912146091461182,2.3010191917419434,9.6505708694458
3072.0,0.5,0.0,0.0,MNIST,6.0,None,0.35010337829589844,0.0,0.0,0.6548327207565308,1.2124110460281372,0.7448533177375793,1.4142135381698608,9.027409553527832,poly_sketch,0.001,1.853769302368164,rademacher,0.0,0.03219999745488167,1760.0396728515625,0.09000000357627869,1.2049087285995483,0.10365162044763565,3.1390793323516846
3072.0,0.5,1.0,0.0,MNIST,6.0,None,1.263429880142212,0.0,0.0,0.18486791849136353,0.06080203875899315,0.16680338978767395,1.4142135381698608,9.027409553527832,poly_sketch,0.001,5.935080528259277,rademacher,0.0,0.024799998849630356,895.11328125,0.09000000357627869,0.5171610713005066,0.08022903650999069,2.313969373703003
3072.0,0.5,0.0,1.0,MNIST,6.0,None,0.6493282318115234,0.0,0.0,0.2641845941543579,0.12151587754487991,0.2358100563287735,1.4142135381698608,9.027409553527832,poly_sketch,0.001,1.8580024242401123,rademacher,0.0,0.03009999915957451,1284.1068115234375,0.09000000357627869,0.9778271913528442,0.0953286811709404,2.2530100345611572
3072.0,0.5,0.0,0.0,MNIST,6.0,None,0.1721057891845703,0.0,0.0,0.4114752411842346,0.2739199697971344,0.3540443181991577,1.4142135381698608,9.027409553527832,poly_sketch,0.001,1.8605666160583496,srht,0.0,0.03240000084042549,1765.7222900390625,0.09000000357627869,1.199480414390564,0.10860324651002884,3.2082324028015137
3072.0,0.5,0.0,0.0,MNIST,6.0,None,0.1078343391418457,1.0,0.0,0.3648093044757843,0.28144052624702454,0.35887160897254944,1.4142135381698608,9.027409553527832,poly_sketch,0.001,1.870633602142334,srht,0.0,0.03139999881386757,1770.5068359375,0.09000000357627869,1.2017613649368286,0.10299579799175262,3.1888692378997803
3072.0,0.5,1.0,0.0,MNIST,6.0,None,0.4306352138519287,0.0,0.0,0.17796745896339417,0.0542810782790184,0.15760502219200134,1.4142135381698608,9.027409553527832,poly_sketch,0.001,5.932894468307495,srht,0.0,0.023899998515844345,898.6117553710938,0.09000000357627869,0.520534098148346,0.07361341267824173,2.2979094982147217
3072.0,0.5,1.0,0.0,MNIST,6.0,None,0.2265005111694336,1.0,0.0,0.17328539490699768,0.05211199074983597,0.15442395210266113,1.4142135381698608,9.027409553527832,poly_sketch,0.001,5.936305999755859,srht,0.0,0.02419999986886978,915.7296752929688,0.09000000357627869,0.5325530171394348,0.07844576239585876,2.3234879970550537
3072.0,0.5,0.0,1.0,MNIST,6.0,None,0.17360281944274902,1.0,0.0,0.23506443202495575,0.09441051632165909,0.20785285532474518,1.4142135381698608,9.027409553527832,poly_sketch,0.001,1.8638339042663574,srht,0.0,0.030399998649954796,1318.9241943359375,0.09000000357627869,0.9893231987953186,0.09287596493959427,2.343651533126831
