D,bias,comp,dataset,degree,feature_dist,hier,k_mean_error,k_mse,k_rel_frob_error,kernel_len,kernel_var,method,noise_var,pred_time,proj,seed,test_error,test_kl,test_label_var,test_mean_mse,test_mnll,test_var_mse
80.0,0.875,0.0,Boston,20.0,None,0.0,6.444242000579834,66.44652557373047,0.348623126745224,2.8284270763397217,84.10760498046875,srf,0.03125,0.016122817993164062,gaussian,0.0,19.035303115844727,797.9844360351562,75.76026916503906,19.449832916259766,235.24766540527344,25.3211612701416
80.0,0.875,0.0,Boston,20.0,None,0.0,7.588946342468262,99.07000732421875,0.4256877601146698,2.8284270763397217,84.10760498046875,srf,0.0625,0.009011268615722656,gaussian,0.0,18.961071014404297,826.6900024414062,75.76026916503906,19.034744262695312,111.55204772949219,26.26122283935547
80.0,0.875,0.0,Boston,20.0,None,0.0,7.565843105316162,92.50740814208984,0.411346971988678,2.8284270763397217,84.10760498046875,srf,0.125,0.019889116287231445,gaussian,0.0,24.4545841217041,565.671875,75.76026916503906,19.953649520874023,71.95906829833984,27.527633666992188
80.0,0.875,0.0,Boston,20.0,None,0.0,7.086920738220215,79.39476013183594,0.38107985258102417,2.8284270763397217,84.10760498046875,srf,0.25,0.016852140426635742,gaussian,0.0,17.57867431640625,448.4839782714844,75.76026916503906,21.764007568359375,26.876680374145508,29.37055015563965
80.0,0.875,0.0,Boston,20.0,None,0.0,7.015301704406738,80.76058959960938,0.3843437433242798,2.8284270763397217,84.10760498046875,srf,0.5,0.015906572341918945,gaussian,0.0,20.214923858642578,435.82135009765625,75.76026916503906,20.2208194732666,16.75684928894043,31.45200538635254
80.0,0.875,0.0,Boston,20.0,None,0.0,7.745152950286865,92.92566680908203,0.41227588057518005,2.8284270763397217,84.10760498046875,srf,1.0,0.012128114700317383,gaussian,0.0,17.71813201904297,262.55487060546875,75.76026916503906,17.791954040527344,7.952821731567383,34.53601837158203
80.0,0.875,0.0,Boston,20.0,None,0.0,7.014501571655273,81.56796264648438,0.38626012206077576,2.8284270763397217,84.10760498046875,srf,2.0,0.018378019332885742,gaussian,0.0,17.796796798706055,137.2162628173828,75.76026916503906,13.956729888916016,4.77271032333374,37.76666259765625
80.0,0.875,0.0,Boston,20.0,None,0.0,7.773320198059082,95.4929428100586,0.41793206334114075,2.8284270763397217,84.10760498046875,srf,4.0,0.018395185470581055,gaussian,0.0,16.135639190673828,75.60662841796875,75.76026916503906,10.556609153747559,3.207913637161255,42.67286682128906
80.0,0.875,0.0,Boston,20.0,None,0.0,7.047111511230469,75.6272201538086,0.37192821502685547,2.8284270763397217,84.10760498046875,srf,8.0,0.017835617065429688,gaussian,0.0,22.633163452148438,71.33076477050781,75.76026916503906,15.771334648132324,3.1613523960113525,45.57442092895508
80.0,0.875,0.0,Boston,20.0,None,0.0,7.5444416999816895,94.55551147460938,0.415875643491745,2.8284270763397217,84.10760498046875,srf,16.0,0.016052722930908203,gaussian,0.0,16.47684669494629,29.037532806396484,75.76026916503906,6.470857620239258,2.8143372535705566,53.600006103515625
80.0,0.875,0.0,Boston,20.0,None,0.0,7.161998271942139,80.35831451416016,0.3833853006362915,2.8284270763397217,84.10760498046875,srf,32.0,0.010600566864013672,gaussian,0.0,13.644560813903809,18.535552978515625,75.76026916503906,5.141677379608154,2.9115490913391113,47.05683517456055
80.0,0.875,0.0,Boston,20.0,None,0.0,6.716439247131348,74.25979614257812,0.36855044960975647,2.8284270763397217,84.10760498046875,srf,64.0,0.014225959777832031,gaussian,0.0,16.241336822509766,9.772650718688965,75.76026916503906,4.573840141296387,3.1682465076446533,58.397865295410156
80.0,0.875,0.0,Boston,20.0,None,0.0,7.279726028442383,85.56988525390625,0.39562204480171204,2.8284270763397217,84.10760498046875,srf,128.0,0.014263629913330078,gaussian,0.0,18.359745025634766,5.686840057373047,75.76026916503906,3.6210410594940186,3.4548051357269287,74.07449340820312
80.0,0.875,0.0,Boston,20.0,None,0.0,6.887290954589844,73.53092956542969,0.36673733592033386,2.8284270763397217,84.10760498046875,srf,256.0,0.010099172592163086,gaussian,0.0,18.5800838470459,3.732212543487549,75.76026916503906,3.1757242679595947,3.7600035667419434,68.73162841796875
80.0,0.875,0.0,Boston,20.0,None,0.0,6.905063629150391,81.50515747070312,0.38611137866973877,2.8284270763397217,84.10760498046875,srf,512.0,0.02600383758544922,gaussian,0.0,23.06428337097168,2.30544376373291,75.76026916503906,2.4777626991271973,4.084677219390869,63.579185485839844
80.0,0.875,0.0,Boston,20.0,None,0.0,6.730000019073486,75.052490234375,0.3705122768878937,2.8284270763397217,84.10760498046875,srf,1024.0,0.021615028381347656,gaussian,0.0,36.607025146484375,1.6944398880004883,75.76026916503906,3.183464288711548,4.420153617858887,31.61077308654785
80.0,0.875,0.0,Boston,20.0,None,0.0,6.428139686584473,67.36812591552734,0.35103246569633484,2.8284270763397217,84.10760498046875,srf,2048.0,0.014421463012695312,gaussian,0.0,35.580684661865234,0.6418356895446777,75.76026916503906,1.1759546995162964,4.751126766204834,30.9855899810791
80.0,0.875,0.0,Boston,20.0,None,0.0,6.545456409454346,71.31000518798828,0.3611563742160797,2.8284270763397217,84.10760498046875,srf,4096.0,0.010622262954711914,gaussian,0.0,45.908905029296875,0.2527555525302887,75.76026916503906,0.6056055426597595,5.090554714202881,6.849972724914551
80.0,0.875,0.0,Boston,20.0,None,0.0,7.440138816833496,87.73725128173828,0.4006010591983795,2.8284270763397217,84.10760498046875,srf,8192.0,0.0073261260986328125,gaussian,0.0,54.53965759277344,0.10927098244428635,75.76026916503906,0.2909000515937805,5.431809902191162,4.947053909301758
80.0,0.875,0.0,Boston,20.0,None,0.0,6.105251789093018,58.24750518798828,0.32640644907951355,2.8284270763397217,84.10760498046875,srf,16384.0,0.014968156814575195,gaussian,0.0,64.11726379394531,0.023695414885878563,75.76026916503906,0.0681561678647995,5.775178909301758,1.645848035812378
